symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2017-03-27 00:00:00+00:00,140.88,141.22,138.62,139.39,23575094,33.2482190112,33.328460312,32.7148503643,32.8965733104,94300376,0.0,1.0
AAPL,2017-03-28 00:00:00+00:00,143.8,144.04,140.62,140.91,33374805,33.9373501832,33.9939911014,33.1868580164,33.2552991259,133499220,0.0,1.0
AAPL,2017-03-29 00:00:00+00:00,144.12,144.49,143.19,143.68,29189955,34.0128714075,34.1001928231,33.7933878493,33.9090297241,116759820,0.0,1.0
AAPL,2017-03-30 00:00:00+00:00,143.93,144.5,143.5,144.19,21207252,33.9680306806,34.1025528614,33.8665490354,34.0293916753,84829008,0.0,1.0
AAPL,2017-03-31 00:00:00+00:00,143.66,144.27,143.01,143.72,19661651,33.9043096475,34.0482719814,33.7509071606,33.9184698771,78646604,0.0,1.0
AAPL,2017-04-03 00:00:00+00:00,143.7,144.12,143.05,143.71,19985714,33.9137498006,34.0128714075,33.7603473137,33.9161098388,79942856,0.0,1.0
AAPL,2017-04-04 00:00:00+00:00,144.77,144.89,143.17,143.25,19891354,34.1662738944,34.1945943536,33.7886677728,33.8075480789,79565416,0.0,1.0
AAPL,2017-04-05 00:00:00+00:00,144.02,145.46,143.81,144.22,27717854,33.9892710249,34.3291165344,33.9397102214,34.0364717901,110871416,0.0,1.0
AAPL,2017-04-06 00:00:00+00:00,143.66,144.52,143.45,144.29,21149034,33.9043096475,34.1072729379,33.8547488441,34.0529920579,84596136,0.0,1.0
AAPL,2017-04-07 00:00:00+00:00,143.34,144.18,143.27,143.73,16658543,33.8287884232,34.0270316371,33.8122681554,33.9208299154,66634172,0.0,1.0
AAPL,2017-04-10 00:00:00+00:00,143.17,143.8792,142.9,143.6,18933397,33.7886677728,33.9560416862,33.7249467398,33.890149418,75733588,0.0,1.0
AAPL,2017-04-11 00:00:00+00:00,141.63,143.35,140.06,142.94,30379376,33.4252218807,33.8311484615,33.0546958738,33.7343868928,121517504,0.0,1.0
AAPL,2017-04-12 00:00:00+00:00,141.8,142.15,141.01,141.6,20350000,33.4653425311,33.5479438702,33.2788995086,33.4181417659,81400000,0.0,1.0
AAPL,2017-04-13 00:00:00+00:00,141.05,142.38,141.05,141.91,17822880,33.2883396616,33.6022247502,33.2883396616,33.491302952,71291520,0.0,1.0
AAPL,2017-04-17 00:00:00+00:00,141.83,141.88,140.87,141.48,16582094,33.4724226459,33.4842228372,33.2458589729,33.3898213068,66328376,0.0,1.0
AAPL,2017-04-18 00:00:00+00:00,141.2,142.04,141.11,141.41,14697544,33.3237402355,33.5219834494,33.3024998912,33.373301039,58790176,0.0,1.0
AAPL,2017-04-19 00:00:00+00:00,140.68,142.0,140.45,141.88,17328375,33.201018246,33.5125432963,33.146737366,33.4842228372,69313500,0.0,1.0
AAPL,2017-04-20 00:00:00+00:00,142.44,142.92,141.16,141.22,23319562,33.6163849798,33.7296668163,33.3143000825,33.328460312,93278248,0.0,1.0
AAPL,2017-04-21 00:00:00+00:00,142.27,142.68,141.85,142.44,17320928,33.5762643294,33.673025898,33.4771427224,33.6163849798,69283712,0.0,1.0
AAPL,2017-04-24 00:00:00+00:00,143.64,143.95,143.18,143.5,17116599,33.899589571,33.9727507571,33.791027811,33.8665490354,68466396,0.0,1.0
AAPL,2017-04-25 00:00:00+00:00,144.53,144.9,143.87,143.91,18216472,34.1096329762,34.1969543918,33.953870451,33.963310604,72865888,0.0,1.0
AAPL,2017-04-26 00:00:00+00:00,143.68,144.6,143.3762,144.47,19614287,33.9090297241,34.126153244,33.8373317617,34.0954727466,78457148,0.0,1.0
AAPL,2017-04-27 00:00:00+00:00,143.79,144.16,143.31,143.9225,13948980,33.9349901449,34.0223115605,33.8217083084,33.9662606519,55795920,0.0,1.0
AAPL,2017-04-28 00:00:00+00:00,143.65,144.3,143.27,144.09,20247187,33.9019496093,34.0553520962,33.8122681554,34.0057912927,80988748,0.0,1.0
AAPL,2017-05-01 00:00:00+00:00,146.58,147.2,144.96,145.1,32818760,34.5934408195,34.7397631917,34.2111146214,34.244155157,131275040,0.0,1.0
AAPL,2017-05-02 00:00:00+00:00,147.51,148.09,146.84,147.54,39752670,34.8129243778,34.9498065968,34.6548018143,34.8200044925,159010680,0.0,1.0
AAPL,2017-05-03 00:00:00+00:00,147.06,147.49,144.27,145.59,45142806,34.706722656,34.8082043012,34.0482719814,34.3597970318,180571224,0.0,1.0
AAPL,2017-05-04 00:00:00+00:00,146.53,147.14,145.81,146.52,23275690,34.5816406282,34.7256029621,34.4117178735,34.57928059,93102760,0.0,1.0
AAPL,2017-05-05 00:00:00+00:00,148.96,148.98,146.76,146.76,26787359,35.1551299255,35.159850002,34.6359215082,34.6359215082,107149436,0.0,1.0
AAPL,2017-05-08 00:00:00+00:00,153.01,153.7,149.03,149.03,48339210,36.1109454209,36.2737880609,35.1716501933,35.1716501933,193356840,0.0,1.0
AAPL,2017-05-09 00:00:00+00:00,153.99,154.88,153.45,153.87,35942435,36.3422291704,36.5522725756,36.2147871044,36.3139087113,143769740,0.0,1.0
AAPL,2017-05-10 00:00:00+00:00,153.26,153.94,152.11,153.63,25670456,36.1699463774,36.3304289791,35.8985419775,36.2572677931,102681824,0.0,1.0
AAPL,2017-05-11 00:00:00+00:00,153.95,154.07,152.31,152.45,25596687,36.4814714278,36.509907781,36.0928412677,36.1260170131,102386748,0.63,1.0
AAPL,2017-05-12 00:00:00+00:00,156.1,156.42,154.67,154.7,32221756,36.9909560888,37.066786364,36.6520895468,36.6591986351,128887024,0.0,1.0
AAPL,2017-05-15 00:00:00+00:00,155.7,156.65,155.05,156.01,25700983,36.8961682449,37.1212893742,36.7421379986,36.969628824,102803932,0.0,1.0
AAPL,2017-05-16 00:00:00+00:00,155.47,156.06,154.72,155.94,19904679,36.8416652347,36.9814773045,36.6639380273,36.9530409513,79618716,0.0,1.0
AAPL,2017-05-17 00:00:00+00:00,150.25,154.57,149.71,153.6,49482818,35.6046838715,36.6283925859,35.4767202823,36.3985320644,197931272,0.0,1.0
AAPL,2017-05-18 00:00:00+00:00,152.54,153.34,151.13,151.27,33159664,36.147344278,36.3369199658,35.8132171282,35.8463928735,132638656,0.0,1.0
AAPL,2017-05-19 00:00:00+00:00,153.06,153.98,152.63,153.38,26733798,36.2705684751,36.4885805161,36.1686715429,36.3463987502,106935192,0.0,1.0
AAPL,2017-05-22 00:00:00+00:00,153.99,154.58,152.91,154.0,22340069,36.4909502122,36.630762282,36.2350230336,36.4933199083,89360276,0.0,1.0
AAPL,2017-05-23 00:00:00+00:00,153.8,154.9,153.31,154.9,19430358,36.4459259863,36.7065925571,36.3298108775,36.7065925571,77721432,0.0,1.0
AAPL,2017-05-24 00:00:00+00:00,153.34,154.17,152.67,153.84,19118319,36.3369199658,36.5336047419,36.1781503272,36.4554047707,76473276,0.0,1.0
AAPL,2017-05-25 00:00:00+00:00,153.87,154.35,153.03,153.73,19044463,36.462513859,36.5762592717,36.2634593868,36.4293381136,76177852,0.0,1.0
AAPL,2017-05-26 00:00:00+00:00,153.61,154.24,153.31,154.0,21632202,36.4009017605,36.5501926146,36.3298108775,36.4933199083,86528808,0.0,1.0
